,mH,mA,mHp,lam345,lam2,mu2sq,lam1,lam3,lam4,lam5,kalam,dghZZ1L,kalam1L,kalam2L,kalam2LDI,kagam1L,kagam2L,kagam2LDI,MW1L,sl1L,GamZ1L,MW2L,sl2L,GamZ2L,effZZh1L_s0,effZZh1L_s240,effZZh1L_s365,effZZh1L_s500,effZZh1L_s550,effZZh1Lkala_s0,effZZh1Lkala_s240,effZZh1Lkala_s365,effZZh1Lkala_s500,effZZh1Lkala_s550,dkappaf,DeltaGammagamgam1L,DeltaGammagamgam2L,DeltaGammagamgam2LDI,dkappaZgam1L,effZZh1Ltot_s0,effZZh1Ltot_s240,effZZh1Ltot_s365,effZZh1L_var,DeltaGammaZgam1L
7,62.09901400558157,343.07645801176375,341.2206876987553,-0.1876084501538769,11.913904956255976,9543.085767146327,0.2581482588231646,3.526269046633026,-1.8359916664216522,-1.8778858303652506,1.2107887897633858,-0.0015548387284983552,(1.2107887897633858+0j),(1.3113581334312387+0j),1.4318120890350017,-4.797042871929658,-5.267812458106791,-6.0489756864737565,80.3609064144902,0.23147371623313398,2.494426740893958,80.36050796029632,0.23147568020343343,2.494398310244151,0.00024156422939405312,0.0014066103832610834,0.003277485669310415,0.007539948567077376,0.0089234462371212,0.000860087815674538,0.0019325615502821646,0.0006890490130223733,0.0001720738237316315,4.072069259888564e-05,-0.00485929614624202,-0.09363969540708006,-0.10258126435275727,-0.11732050304392005,-1.7837183474049612,0.001101652045068591,0.003339171933543248,0.003966534682332788,0.18787973823313603,-0.03535620183381227
8,62.136701056171894,336.88109933819163,343.6009950742025,-0.19544322172798653,12.579259647277953,9785.255895376828,0.2581482588231646,3.5720566329818055,-1.9591781401340258,-1.8083217145757664,1.2069470148648869,-0.002145359278205787,(1.2069470148648875+0j),(1.308693041582853+0j),1.4345585103051233,-4.791021631823156,-5.271602042344226,-6.0736930113161725,80.37809063653519,0.2313800435755135,2.495357459893029,80.37951509878481,0.231373199511588,2.4954600628477244,-0.0001077729569633653,0.0010450431924139292,0.0029109480956751995,0.007095650119168437,0.008387631389351674,0.0008444121064279897,0.0018973392480809374,0.0006764906070225293,0.00016893765649312294,3.997852915247338e-05,-0.004782114834816914,-0.09352504380880344,-0.10265306203759983,-0.11778488554675237,-1.7813584516330971,0.0007366391494646244,0.0029423824404948666,0.003587438702697729,0.21922923863506105,-0.03530984523934144
9,62.03337611352846,355.5319580044528,362.83545676376434,-0.1883402441835975,11.537021471115818,9557.120161813216,0.2581482588231646,4.027850845042227,-2.1946385882838157,-2.0215525009420086,1.2832670043013645,-0.0029272108943025274,(1.2832670043013645+0j),(1.4095497278909652+0j),1.5705965110374718,-4.8357191621618885,-5.342481004037469,-6.112710649490238,80.3801642934313,0.23136860423522576,2.4954724574437366,80.38207427060541,0.23135929062496538,2.49560567782572,-0.0005708122814118316,0.0006044340807342781,0.002456223754479272,0.006750260102069353,0.008288533302795584,0.001155822846441287,0.0025970589877712695,0.000925973577412528,0.00023124017468791874,5.472221088470186e-05,-0.005534247370953114,-0.09437596526170788,-0.10399540975289923,-0.11851768984136557,-1.7970793300703058,0.0005850105650294554,0.0032014930685055477,0.0033821973318918,0.05644374656435062,-0.035618637189549496
10,62.52788786625996,347.234322284824,357.5310384041988,-0.19328852310342687,12.143960514963375,9768.709688518471,0.2581482588231646,3.8948108915616024,-2.1637507326515935,-1.9243486820134357,1.255430332969558,-0.0029103150103791616,(1.255430332969558+0j),(1.374077779409217+0j),1.5257122447266247,-4.818108407280408,-5.3207604676518745,-6.110099248792411,80.3862181010736,0.23133558265446022,2.4957999169680702,80.38872942410856,0.23132350016061148,2.495977305455003,-0.0005430607900060092,0.0006204506833221764,0.0024730482265973583,0.0067194913458833334,0.008144863288969914,0.0010422400422119972,0.002341845791831968,0.0008349780793666388,0.00020851618409334553,4.934465481281058e-05,-0.005253953323840772,-0.09404075128317746,-0.10358416015762484,-0.11846865369283877,-1.7907668172091773,0.000499179252205988,0.0029622964751541444,0.003308026305963997,0.11671007061906674,-0.035494651764821694
11,62.10970484878576,340.65352533468865,356.21364077541375,-0.19323472052738927,11.980263340992494,9714.957497099529,0.2581482588231646,3.86556400387698,-2.208261080256343,-1.8505376441480261,1.2439089964619858,-0.003312575181506253,(1.2439089964619856+0j),(1.357749612464073+0j),1.5009088940049433,-4.817960657895915,-5.312817906167854,-6.083661304495658,80.39730033165347,0.23127483403820912,2.4963994923634063,80.40097382738936,0.23125748160302087,2.4966613899056562,-0.0008368993984799435,0.00032206794941324154,0.0021849269460217364,0.00639583517416479,0.007727323906913411,0.000995229187595048,0.0022362154498797695,0.0007973158983837092,0.00019911093806682662,4.7118934921445354e-05,-0.00515036397638183,-0.09403793866781496,-0.10343375471294736,-0.11797213260313133,-1.790771196510621,0.00015832978911510455,0.002558283399293011,0.0029822428444054457,0.16572028150970175,-0.03549473778238721
12,62.44168918504751,346.1334821256151,348.8310129027401,-0.18699101667169335,12.090594046874067,9567.047095425662,0.2581482588231646,3.698727034041328,-1.9737821667829665,-1.9119358839300546,1.2329346541135657,-0.002148551814502003,(1.2329346541135657+0j),(1.3426617948967114+0j),1.4786472237271133,-4.8106804885029275,-5.301494941938511,-6.091716293714155,80.3700785519215,0.23142373561525167,2.4949242647910332,80.37069660606431,0.23142071315500268,2.494968075636586,-0.00010971318330315702,0.0010580422295426973,0.002923361432123541,0.0071938533192503085,0.008613147242148171,0.00095045024963771,0.0021356000799353024,0.0007614417905991506,0.00019015222136774436,4.4998884696067746e-05,-0.005077038085936894,-0.09389934509381226,-0.10321931397683026,-0.11812342513397289,-1.7884098408638915,0.0008407370663345529,0.0031936423094779997,0.003684803222722692,0.15379333865506445,-0.03544835584138806
13,61.97764830613186,344.2353988471866,351.5633428673696,-0.19439519808657887,11.754904490672683,9733.747413363435,0.2581482588231646,3.7563611335162355,-2.0594828845360924,-1.891273447066722,1.2360647157287534,-0.002451841936862078,(1.2360647157287532+0j),(1.3454390085781252+0j),1.4809905900628002,-4.808686022402631,-5.289248887380838,-6.0575223493652075,80.37969624283278,0.23137121360914634,2.495445488438929,80.38139036481277,0.23136303083422288,2.495565894822207,-0.00028534107406570083,0.0008755380814986426,0.0027328802042190887,0.006971955371402693,0.008358535142788259,0.0009632219338461316,0.0021642972261844725,0.0007716736718536763,0.00019270739363874375,4.560355763427616e-05,-0.005071970376271266,-0.09386137432184749,-0.10298736236835071,-0.11748108928599832,-1.7875383105261378,0.0006778808597804307,0.0030398353076831154,0.003504553876072765,0.15287623221399005,-0.035431236889362894
14,62.3467795769856,365.06882481833276,363.2337485960953,-0.18531770046938295,12.20832163239073,9504.48181294945,0.2581482588231646,4.039127736331021,-2.0901771889602285,-2.134268247840175,1.2989932869144798,-0.0022335709287543844,(1.2989932869144798+0j),(1.434733272944032+0j),1.6124246121798822,-4.838457167649823,-5.3667743440454885,-6.187907392145653,80.3607303786091,0.2314744092521376,2.494417654286793,80.36023179227487,0.23147690156421416,2.494383296424106,-0.0001023598532914773,0.001081169401858471,0.0029261512071993246,0.00722702323421725,0.008902551960690458,0.0012199912686642047,0.0027412412715686813,0.0009773813374041377,0.0002440780565570667,5.7760252522166124e-05,-0.005681218212436315,-0.09442807657667829,-0.10445526019491924,-0.11992912805353595,-1.798079763020366,0.0011176314153727275,0.0038224106734271526,0.0039035325446034625,0.021222698999941954,-0.035638286176989054
15,62.170956841178835,353.5090761925322,351.0209963316607,-0.19103327068218157,11.523295415212838,9655.839459801175,0.2581482588231646,3.7463606172657364,-1.9397822611851467,-1.9976116267627713,1.247674666245763,-0.0017029006943740314,(1.247674666245763+0j),(1.3601521075905503+0j),1.4989816193497272,-4.810972495258725,-5.290651707207184,-6.063723331222947,80.35952091247758,0.23148111670202665,2.494351783107367,80.358925871088,0.23148407418809877,2.4943100367335904,0.00020999977566317558,0.001380550317571073,0.003231522279629853,0.007521392020264818,0.009042273415837262,0.0010105943628613242,0.0022707400023635922,0.0008096255238186887,0.00020218497819643976,4.784639619614709e-05,-0.005193610954591806,-0.09390490427016096,-0.10301393459544617,-0.11759759256069713,-1.788413846831094,0.0012205941385244998,0.0036512903199346653,0.004041147803448541,0.10677252405414095,-0.03544843452786817
16,62.13525829078522,357.4221096046948,361.18190723951056,-0.18375828904716013,12.492348213091136,9430.88224267857,0.2581482588231646,3.992519669315074,-2.13270549592578,-2.043572462436454,1.2823748250365594,-0.0026733562057493715,(1.282374825036559+0j),(1.4133262173363366+0j),1.584393004745489,-4.8380109898156665,-5.368954966417016,-6.19210761211344,80.37255564947452,0.23141011125997893,2.495059546345459,80.3735362943106,0.23140528649949518,2.495127785902134,-0.00042581678832446926,0.0007542104627221459,0.002610365022578056,0.0069224410980277505,0.008490614165883276,0.0011521824606507613,0.0025888792769571526,0.0009230571261034078,0.00023051185940264432,5.4549857517969084e-05,-0.005548936488502707,-0.09441958476255552,-0.10449653158519889,-0.12000793257426956,-1.798002559854739,0.000726365672326292,0.0033430897396792983,0.003533422148681464,0.05693308401001048,-0.03563676987657027
