,mH,mA,mHp,lam345,lam2,mu2sq,lam1,lam3,lam4,lam5,kalam,dghZZ1L,kalam1L,kalam2L,kalam2LDI,kagam1L,kagam2L,kagam2LDI,MW1L,sl1L,GamZ1L,MW2L,sl2L,GamZ2L,effZZh1L_s0,effZZh1L_s240,effZZh1L_s365,effZZh1L_s500,effZZh1L_s550,effZZh1Lkala_s0,effZZh1Lkala_s240,effZZh1Lkala_s365,effZZh1Lkala_s500,effZZh1Lkala_s550,dkappaf,DeltaGammagamgam1L,DeltaGammagamgam2L,DeltaGammagamgam2LDI,dkappaZgam1L,DeltaGammaZgam1L,effZZh1Ltot_s0,effZZh1Ltot_s240,effZZh1Ltot_s365,effZZh1L_var
9,62.53741503255503,388.3890701904803,398.04100640974355,-0.20082517367980207,11.258762233214938,9998.352596027555,0.2581482588231646,4.897004686211768,-2.6741220824011016,-2.4237077774904687,1.450180760629201,-0.004060914169644866,1.450180760629201,1.6389604846977148,1.9005189742933393,-4.871848964049141,-5.4385922221106275,-6.233194241546469,80.38730572552184,0.2313295365671348,2.4958653155457924,80.39082759981004,0.23131207748446708,2.4961007502647394,-0.0010509380548231729,0.0001369917414880194,0.001941250376608256,0.006056629839121579,0.007993474569804045,0.0018368860483657832,0.0041273638396300185,0.0014715991734731886,0.0003674973652006638,8.69670174969544e-05,-0.006783539546608899,-0.09506348804813225,-0.1058140159063723,-0.12077861378564447,-1.8091831242832757,-0.03585634812794647,0.0007859479935426103,0.004264355581118038,0.0034128495500814447,0.19967988476545942
10,61.88608328179592,527.9724497558,533.5803164829363,-0.2569419731313566,9.737974760718819,11618.327302078907,0.2581482588231646,9.00927368996808,-4.7313038437168995,-4.534911819382536,2.748718480320355,-0.008039126085563805,2.7487184803203557,3.474908610144218,4.600874704566658,-4.958325193682955,-5.7916471572413535,-6.715101219905007,80.38251677546725,0.23135530446412853,2.495614516942495,80.38829532664643,0.2313252366040147,2.4959663372014216,-0.0025223093523419203,-0.001298132926247977,0.0004301229547431862,0.0034734701432282554,0.005072474927299712,0.007135348419888729,0.01603266521492217,0.005716398601041861,0.001427536425806452,0.0003378217018042044,-0.012925560809137655,-0.09670800500102805,-0.11247862546542886,-0.12979276595874312,-1.8383877833267226,-0.03642978870234592,0.0046130390675468095,0.014734532288674192,0.006146521555785048,0.5828492255224405
11,61.51779357661047,447.21419105800976,448.2317809114102,-0.29125385432611084,12.985007265499195,12612.942658307757,0.2581482588231646,6.2120093138331285,-3.266661852473985,-3.2366013156852538,1.7886963471804278,-0.002831667526502837,1.7886963471804278,2.134885603888481,2.6891073659857287,-4.859773478890217,-5.499330343379949,-6.465935979931425,80.36739049470474,0.2314375690562332,2.4947826414371534,80.36795903702954,0.2314346529849432,2.4948188744583657,0.00046068204517312866,0.0016334301556207105,0.003341031145527471,0.006632432969826571,0.008732413150198225,0.0032181413406204345,0.0072309549152013005,0.0025781752445614295,0.0006438387751779779,0.0001523622842725615,-0.008318282029558307,-0.09483372975119186,-0.10696234344503697,-0.1251378867889713,-1.8033355308342491,-0.03574150871300796,0.0036788233857935632,0.00886438507082201,0.0059192063900889,0.3322485042338079
12,61.43190099109657,435.79301716244197,438.83239881598666,-0.33652057681783365,7.706939312108599,13974.509709836108,0.2581482588231646,5.892023709009783,-3.1581213668930306,-3.0704229189345864,1.6894826630040543,-0.001482503478736191,1.6894826630040543,1.9298072897690128,2.279243908173136,-4.811213233755773,-5.259865583393008,-5.9373427519555655,80.37256260290498,0.23140956995030532,2.495064918285671,80.37410666769877,0.23140170357986475,2.4951643590501367,0.0015305660514085496,0.002671587791342941,0.004340496815349702,0.00762534428979302,0.009698877346695351,0.0028133167718942327,0.006321340359719837,0.0022538549083766517,0.0005628473807974001,0.0001331959427442285,-0.007375513817865277,-0.09390948739704885,-0.10243069307232389,-0.11522165114369143,-1.7855335286618867,-0.03539185757504015,0.004343882823302782,0.008992928151062778,0.006594351723726353,0.26671806858069497
13,60.794524801699964,530.1040901842553,530.9090355562132,-0.23326043245143857,11.881292262305374,10766.578008816878,0.2581482588231646,8.943563839187753,-4.602499889354866,-4.574324382284325,2.75041900446518,-0.007955074137229793,2.75041900446518,3.543861628409929,4.789695911210697,-4.97218929115234,-5.882357043705211,-6.9190275721021655,80.3672844767324,0.23143777310224933,2.494778608377104,80.36810929964133,0.23143346821587976,2.494828787232327,-0.0026529062483581713,-0.0014183860845181074,0.0003242474522222431,0.003391617204358437,0.005001742907368935,0.007142287119517233,0.016048256023054343,0.005721957456827918,0.001428924619610669,0.0003381502132067136,-0.013101380158821821,-0.09697151918834179,-0.11418692843514144,-0.13359325718769233,-1.84356484516639,-0.036531423769494475,0.004489380871159061,0.014629869938536237,0.006046204909050161,0.5867218960625222
14,61.55577970135165,407.42731426920955,408.09991709977237,-0.2894233679228854,9.591075837533053,12562.131936349644,0.2581482588231646,5.079939154357045,-2.693729243362131,-2.675633278917799,1.499851331432857,-0.0014248689389997776,1.4998513314328576,1.6904391619820807,1.9638217965917422,-4.804639221779416,-5.268963519564462,-6.0063306943092805,80.3662819772048,0.23144382212199477,2.4947208320913883,80.36654959469574,0.2314424671060802,2.494738484590166,0.0011482099782009955,0.002293335221617036,0.004000829716824317,0.007677333596434479,0.009729966563416575,0.002039558366916403,0.004582755397328447,0.001633967664828617,0.00040804508623797374,9.656249952983345e-05,-0.006552212229691356,-0.09378432863044217,-0.10260307273423908,-0.11651901304524537,-1.783913369532708,-0.035360032699654376,0.0031877683451173987,0.006876090618945483,0.005634797381652934,0.1805231062360423
15,61.12530588695729,494.56867217309775,502.58202702115295,-0.22328010532666187,14.212847620943846,10504.382527831098,0.2581482588231646,7.986403007432995,-4.2366459093464055,-3.9730372034132513,2.348741679863112,-0.007715930233261427,2.3487416798631133,2.9992558127150137,4.029920257638291,-4.958969075077491,-5.8547490171397705,-6.950213958150686,80.38867792906545,0.23132183084366115,2.4959501987431025,80.39541295666383,0.2312870680244879,2.4963661369523935,-0.002740570743577182,-0.0015134324470186269,0.00023895142975652715,0.0034154358829194126,0.005192367773873606,0.005503311094697369,0.012365583173053472,0.004408911519322385,0.0011010222049321857,0.00026055320779943305,-0.0115287966344016,-0.09672024407279223,-0.11366717173742558,-0.13417373175660652,-1.839088272195244,-0.03644354087661217,0.0027627403511201873,0.010852150726034845,0.004647862949078913,0.5717104317461735
16,61.954532968773634,448.66313284468,452.9378787415005,-0.27449093665984425,13.011718019191834,12158.749354216488,0.2581482588231646,6.366904302499189,-3.384271581167923,-3.25712365799111,1.8257187781862803,-0.003805840523748637,1.8257187781862807,2.190493954759241,2.7691656138730805,-4.876920100919458,-5.546493287624099,-6.514582693922543,80.37613622585266,0.23139014302046623,2.4952610408094347,80.37860820948008,0.23137750324106893,2.4954182606170905,-0.0002119445637794759,0.000969844333896287,0.002689718633448816,0.005998881631308065,0.008113333716953705,0.0033692050753215495,0.007570385331497154,0.0026991981394359978,0.0006740614035927465,0.00015951436780577532,-0.008644167708118133,-0.09515996705131402,-0.10785350697351614,-0.12604767511085546,-1.8095930331840426,-0.03586439796910601,0.0031572605115420737,0.008540229665393442,0.005388916772884814,0.3689962701212028
17,61.74409785803144,380.61172649824107,392.97039130938765,-0.339173705563586,6.468548639339301,14093.386663242274,0.2581482588231646,4.629588056206771,-2.642081194249053,-2.326680567521304,1.375691031813903,-0.0008039105380282725,1.375691031813903,1.502030090336377,1.6588910430886936,-4.727080899501058,-5.0435534204630645,-5.583024099426915,80.39336976403987,0.2312963570618016,2.4961940459838443,80.39740403999045,0.23127666357164509,2.496468889992728,0.0017677791436106944,0.0028533256258185787,0.0044990911635842306,0.00822293258976787,0.010026815310149076,0.0015329433756133305,0.003444424362815415,0.0012280991553835128,0.0003066889489638765,7.257690997621288e-05,-0.00523400766894005,-0.09230708860697834,-0.09832732529875476,-0.10854346617906019,-1.7555863039021458,-0.03480351775099799,0.0033007225192240247,0.006297749988633994,0.005727190318967743,0.09059738330292273
18,62.3458386705523,523.5603358262883,522.3677457597023,-0.17246236539289414,7.678041928144867,9114.692826118331,0.2581482588231646,8.701268940013659,-4.4162902856412005,-4.457441019765352,2.671670489307461,-0.008894559722959203,2.671670489307461,3.3052352083714527,4.229205526693473,-4.998207728976645,-5.836980972658479,-6.647408006290389,80.3610640550148,0.2314714548393728,2.4944373047077977,80.35989196967589,0.2314775754064601,2.494365876698437,-0.003529334635972009,-0.0022759571715752474,-0.0005021210100785754,0.002638957210939178,0.004304771105983305,0.006820967193226822,0.015326270984350661,0.005464535860986349,0.0013646396159746226,0.0003229373829515765,-0.013127537917500067,-0.09746594652933271,-0.11333258476565178,-0.12852935680559852,-1.8533336560880853,-0.03672318855768275,0.0032916325572548135,0.013050313812775414,0.004962414850907773,0.619747469516795
