0,1,2,3,4,5,6,7,8,9,10,11
1,0.29555,0.35709,0.16931,0.028915,0.28468,0.052797,0.51689,0.043509,0.49868,0.040262,0.33354
0.29555,1,0.10854,0.059673,0.039402,0.049583,0.022424,0.021868,0.01266,0.025941,0.068723,0.59266
0.35709,0.10854,1,0.04819,-0.016798,0.27104,0.089538,0.53149,-0.020666,0.46534,0.023683,0.1728
0.16931,0.059673,0.04819,1,0.020458,0.10049,-0.1459,0.20248,0.071432,0.21683,0.018309,0.13743
0.028915,0.039402,-0.016798,0.020458,1,0.011659,0.0069302,0.040309,0.010714,0.037998,-0.0036393,-0.011655
0.28468,0.049583,0.27104,0.10049,0.011659,1,0.041603,0.39766,0.026467,0.37515,0.021141,0.14622
0.052797,0.022424,0.089538,-0.1459,0.0069302,0.041603,1,0.089159,-0.0043202,0.060145,0.0092355,0.055591
0.51689,0.021868,0.53149,0.20248,0.040309,0.39766,0.089159,1,0.06134,0.70682,0.046918,0.35965
0.043509,0.01266,-0.020666,0.071432,0.010714,0.026467,-0.0043202,0.06134,1,0.055455,0.0072585,0.049403
0.49868,0.025941,0.46534,0.21683,0.037998,0.37515,0.060145,0.70682,0.055455,1,0.046988,0.34972
0.040262,0.068723,0.023683,0.018309,-0.0036393,0.021141,0.0092355,0.046918,0.0072585,0.046988,1,-0.063684
0.33354,0.59266,0.1728,0.13743,-0.011655,0.14622,0.055591,0.35965,0.049403,0.34972,-0.063684,1
,,,,,,,,,,,
kw,kz,kg,kga,kzga,kc,kt,kb,kmu,ktau,BrInv,BrExo
